"eventenglishtitle","eventarabictitle","eventarabicorganizername","eventenglishorganizername","eventstartingdate","eventendingdate","introductiondate","locationinarabic","locationinenglish","eventlogo","eventcategory","maplocationlongitude","maplocationlatitude","createddate","typeofevent"
"Reading Hour Initiative: Fourteenth Session","مبادرة ساعة قراءة: الجلسة الرابعة عشر","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك  وبالتعاون مع مكتب سيف سلطان المحرزي للمحاماة والاستشارات القانونية بالشارقة  ودار همسة سعادة وابتهاج للتدريب بمملكة البحرين"," Nabdhalemarat  Volunteer Team headed by Sheikha Fatima bint Hasher bin Dalmouk  In cooperation with Saif Sultan Al Mahrezi Law Firm and Legal Consultations in Sharjah  And the house of whispering hap","11/25/2021 00:00:00","11/25/2021 00:00:00","11/25/2021 00:00:00","زووم","ZOOM","/StagingImages/EventsImages/1637493307018.jpeg","","55.2707828","25.2048493","11/21/2021 00:00:00","الشركات والأحداث"
"Reading Hour Initiative: Fourteenth Session","مبادرة ساعة قراءة: الجلسة الرابعة عشر","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك  وبالتعاون مع مكتب سيف سلطان المحرزي للمحاماة والاستشارات القانونية بالشارقة  ودار همسة سعادة وابتهاج للتدريب بمملكة البحرين"," Nabdhalemarat  Volunteer Team headed by Sheikha Fatima bint Hasher bin Dalmouk  In cooperation with Saif Sultan Al Mahrezi Law Firm and Legal Consultations in Sharjah  And the house of whispering hap","11/25/2021 00:00:00","11/25/2021 00:00:00","11/25/2021 00:00:00","زووم","ZOOM","/StagingImages/EventsImages/1637493307018.jpeg","","55.2707828","25.2048493","11/21/2021 00:00:00","الاعمال الخيرية"
"Reading Hour Initiative: Fourteenth Session","مبادرة ساعة قراءة: الجلسة الرابعة عشر","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك  وبالتعاون مع مكتب سيف سلطان المحرزي للمحاماة والاستشارات القانونية بالشارقة  ودار همسة سعادة وابتهاج للتدريب بمملكة البحرين"," Nabdhalemarat  Volunteer Team headed by Sheikha Fatima bint Hasher bin Dalmouk  In cooperation with Saif Sultan Al Mahrezi Law Firm and Legal Consultations in Sharjah  And the house of whispering hap","11/25/2021 00:00:00","11/25/2021 00:00:00","11/25/2021 00:00:00","زووم","ZOOM","/StagingImages/EventsImages/1637493307018.jpeg","","55.2707828","25.2048493","11/21/2021 00:00:00","الفنون والثقافة"
"Reading Hour Initiative: Fourteenth Session","مبادرة ساعة قراءة: الجلسة الرابعة عشر","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك  وبالتعاون مع مكتب سيف سلطان المحرزي للمحاماة والاستشارات القانونية بالشارقة  ودار همسة سعادة وابتهاج للتدريب بمملكة البحرين"," Nabdhalemarat  Volunteer Team headed by Sheikha Fatima bint Hasher bin Dalmouk  In cooperation with Saif Sultan Al Mahrezi Law Firm and Legal Consultations in Sharjah  And the house of whispering hap","11/25/2021 00:00:00","11/25/2021 00:00:00","11/25/2021 00:00:00","زووم","ZOOM","/StagingImages/EventsImages/1637493307018.jpeg","","55.2707828","25.2048493","11/21/2021 00:00:00","مؤتمر"
"Reading Hour Initiative: Fourteenth Session","مبادرة ساعة قراءة: الجلسة الرابعة عشر","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك  وبالتعاون مع مكتب سيف سلطان المحرزي للمحاماة والاستشارات القانونية بالشارقة  ودار همسة سعادة وابتهاج للتدريب بمملكة البحرين"," Nabdhalemarat  Volunteer Team headed by Sheikha Fatima bint Hasher bin Dalmouk  In cooperation with Saif Sultan Al Mahrezi Law Firm and Legal Consultations in Sharjah  And the house of whispering hap","11/25/2021 00:00:00","11/25/2021 00:00:00","11/25/2021 00:00:00","زووم","ZOOM","/StagingImages/EventsImages/1637493307018.jpeg","","55.2707828","25.2048493","11/21/2021 00:00:00","إجتماعي"
"Reading Hour Initiative: Fourteenth Session","مبادرة ساعة قراءة: الجلسة الرابعة عشر","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك  وبالتعاون مع مكتب سيف سلطان المحرزي للمحاماة والاستشارات القانونية بالشارقة  ودار همسة سعادة وابتهاج للتدريب بمملكة البحرين"," Nabdhalemarat  Volunteer Team headed by Sheikha Fatima bint Hasher bin Dalmouk  In cooperation with Saif Sultan Al Mahrezi Law Firm and Legal Consultations in Sharjah  And the house of whispering hap","11/25/2021 00:00:00","11/25/2021 00:00:00","11/25/2021 00:00:00","زووم","ZOOM","/StagingImages/EventsImages/1637493307018.jpeg","","55.2707828","25.2048493","11/21/2021 00:00:00","معرض"
"Reading Hour Initiative: Fourteenth Session","مبادرة ساعة قراءة: الجلسة الرابعة عشر","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك  وبالتعاون مع مكتب سيف سلطان المحرزي للمحاماة والاستشارات القانونية بالشارقة  ودار همسة سعادة وابتهاج للتدريب بمملكة البحرين"," Nabdhalemarat  Volunteer Team headed by Sheikha Fatima bint Hasher bin Dalmouk  In cooperation with Saif Sultan Al Mahrezi Law Firm and Legal Consultations in Sharjah  And the house of whispering hap","11/25/2021 00:00:00","11/25/2021 00:00:00","11/25/2021 00:00:00","زووم","ZOOM","/StagingImages/EventsImages/1637493307018.jpeg","","55.2707828","25.2048493","11/21/2021 00:00:00","الأسرة والأطفال"
"Reading Hour Initiative: Fourteenth Session","مبادرة ساعة قراءة: الجلسة الرابعة عشر","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك  وبالتعاون مع مكتب سيف سلطان المحرزي للمحاماة والاستشارات القانونية بالشارقة  ودار همسة سعادة وابتهاج للتدريب بمملكة البحرين"," Nabdhalemarat  Volunteer Team headed by Sheikha Fatima bint Hasher bin Dalmouk  In cooperation with Saif Sultan Al Mahrezi Law Firm and Legal Consultations in Sharjah  And the house of whispering hap","11/25/2021 00:00:00","11/25/2021 00:00:00","11/25/2021 00:00:00","زووم","ZOOM","/StagingImages/EventsImages/1637493307018.jpeg","","55.2707828","25.2048493","11/21/2021 00:00:00","مهرجان"
"Reading Hour Initiative: Fourteenth Session","مبادرة ساعة قراءة: الجلسة الرابعة عشر","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك  وبالتعاون مع مكتب سيف سلطان المحرزي للمحاماة والاستشارات القانونية بالشارقة  ودار همسة سعادة وابتهاج للتدريب بمملكة البحرين"," Nabdhalemarat  Volunteer Team headed by Sheikha Fatima bint Hasher bin Dalmouk  In cooperation with Saif Sultan Al Mahrezi Law Firm and Legal Consultations in Sharjah  And the house of whispering hap","11/25/2021 00:00:00","11/25/2021 00:00:00","11/25/2021 00:00:00","زووم","ZOOM","/StagingImages/EventsImages/1637493307018.jpeg","","55.2707828","25.2048493","11/21/2021 00:00:00","احداث تجارية"
"Reading Hour Initiative: Fourteenth Session","مبادرة ساعة قراءة: الجلسة الرابعة عشر","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك  وبالتعاون مع مكتب سيف سلطان المحرزي للمحاماة والاستشارات القانونية بالشارقة  ودار همسة سعادة وابتهاج للتدريب بمملكة البحرين"," Nabdhalemarat  Volunteer Team headed by Sheikha Fatima bint Hasher bin Dalmouk  In cooperation with Saif Sultan Al Mahrezi Law Firm and Legal Consultations in Sharjah  And the house of whispering hap","11/25/2021 00:00:00","11/25/2021 00:00:00","11/25/2021 00:00:00","زووم","ZOOM","/StagingImages/EventsImages/1637493307018.jpeg","","55.2707828","25.2048493","11/21/2021 00:00:00","حملات توعية"
"Reading Hour Initiative: Fourteenth Session","مبادرة ساعة قراءة: الجلسة الرابعة عشر","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك  وبالتعاون مع مكتب سيف سلطان المحرزي للمحاماة والاستشارات القانونية بالشارقة  ودار همسة سعادة وابتهاج للتدريب بمملكة البحرين"," Nabdhalemarat  Volunteer Team headed by Sheikha Fatima bint Hasher bin Dalmouk  In cooperation with Saif Sultan Al Mahrezi Law Firm and Legal Consultations in Sharjah  And the house of whispering hap","11/25/2021 00:00:00","11/25/2021 00:00:00","11/25/2021 00:00:00","زووم","ZOOM","/StagingImages/EventsImages/1637493307018.jpeg","","55.2707828","25.2048493","11/21/2021 00:00:00","الصحة والبيئة"
"Literary symposium entitled: Intangible heritage in the UAE models and experiences","الندوة الادبية بعنوان: التراث غير المادي في دولة الإمارات نماذج وتجارب","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك  وبالتعاون مع مجالس أحياء دبي","NABDH ALEMARAT  Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk,  In cooperation with the Dubai Neighborhood Councils","11/23/2021 00:00:00","11/23/2021 00:00:00","11/23/2021 00:00:00","مجلس الخوانيج المجتمعي","Al Khawaneej Majlis","/StagingImages/EventsImages/1637582104107.jpeg","","55.4677297","25.2383198","11/22/2021 00:00:00","آخر"
"Literary symposium entitled: Intangible heritage in the UAE models and experiences","الندوة الادبية بعنوان: التراث غير المادي في دولة الإمارات نماذج وتجارب","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك  وبالتعاون مع مجالس أحياء دبي","NABDH ALEMARAT  Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk,  In cooperation with the Dubai Neighborhood Councils","11/23/2021 00:00:00","11/23/2021 00:00:00","11/23/2021 00:00:00","مجلس الخوانيج المجتمعي","Al Khawaneej Majlis","/StagingImages/EventsImages/1637582104107.jpeg","","55.4677297","25.2383198","11/22/2021 00:00:00","إجتماعي"
"Literary symposium entitled: Intangible heritage in the UAE models and experiences","الندوة الادبية بعنوان: التراث غير المادي في دولة الإمارات نماذج وتجارب","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك  وبالتعاون مع مجالس أحياء دبي","NABDH ALEMARAT  Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk,  In cooperation with the Dubai Neighborhood Councils","11/23/2021 00:00:00","11/23/2021 00:00:00","11/23/2021 00:00:00","مجلس الخوانيج المجتمعي","Al Khawaneej Majlis","/StagingImages/EventsImages/1637582104107.jpeg","","55.4677297","25.2383198","11/22/2021 00:00:00","أشخاص ذوي الإعاقة"
"Literary symposium entitled: Intangible heritage in the UAE models and experiences","الندوة الادبية بعنوان: التراث غير المادي في دولة الإمارات نماذج وتجارب","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك  وبالتعاون مع مجالس أحياء دبي","NABDH ALEMARAT  Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk,  In cooperation with the Dubai Neighborhood Councils","11/23/2021 00:00:00","11/23/2021 00:00:00","11/23/2021 00:00:00","مجلس الخوانيج المجتمعي","Al Khawaneej Majlis","/StagingImages/EventsImages/1637582104107.jpeg","","55.4677297","25.2383198","11/22/2021 00:00:00","الشركات والأحداث"
"Literary symposium entitled: Intangible heritage in the UAE models and experiences","الندوة الادبية بعنوان: التراث غير المادي في دولة الإمارات نماذج وتجارب","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك  وبالتعاون مع مجالس أحياء دبي","NABDH ALEMARAT  Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk,  In cooperation with the Dubai Neighborhood Councils","11/23/2021 00:00:00","11/23/2021 00:00:00","11/23/2021 00:00:00","مجلس الخوانيج المجتمعي","Al Khawaneej Majlis","/StagingImages/EventsImages/1637582104107.jpeg","","55.4677297","25.2383198","11/22/2021 00:00:00","الاعمال الخيرية"
"Literary symposium entitled: Intangible heritage in the UAE models and experiences","الندوة الادبية بعنوان: التراث غير المادي في دولة الإمارات نماذج وتجارب","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك  وبالتعاون مع مجالس أحياء دبي","NABDH ALEMARAT  Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk,  In cooperation with the Dubai Neighborhood Councils","11/23/2021 00:00:00","11/23/2021 00:00:00","11/23/2021 00:00:00","مجلس الخوانيج المجتمعي","Al Khawaneej Majlis","/StagingImages/EventsImages/1637582104107.jpeg","","55.4677297","25.2383198","11/22/2021 00:00:00","الفنون والثقافة"
"Literary symposium entitled: Intangible heritage in the UAE models and experiences","الندوة الادبية بعنوان: التراث غير المادي في دولة الإمارات نماذج وتجارب","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك  وبالتعاون مع مجالس أحياء دبي","NABDH ALEMARAT  Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk,  In cooperation with the Dubai Neighborhood Councils","11/23/2021 00:00:00","11/23/2021 00:00:00","11/23/2021 00:00:00","مجلس الخوانيج المجتمعي","Al Khawaneej Majlis","/StagingImages/EventsImages/1637582104107.jpeg","","55.4677297","25.2383198","11/22/2021 00:00:00","مؤتمر"
"Literary symposium entitled: Intangible heritage in the UAE models and experiences","الندوة الادبية بعنوان: التراث غير المادي في دولة الإمارات نماذج وتجارب","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك  وبالتعاون مع مجالس أحياء دبي","NABDH ALEMARAT  Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk,  In cooperation with the Dubai Neighborhood Councils","11/23/2021 00:00:00","11/23/2021 00:00:00","11/23/2021 00:00:00","مجلس الخوانيج المجتمعي","Al Khawaneej Majlis","/StagingImages/EventsImages/1637582104107.jpeg","","55.4677297","25.2383198","11/22/2021 00:00:00","إجتماعي"
"Literary symposium entitled: Intangible heritage in the UAE models and experiences","الندوة الادبية بعنوان: التراث غير المادي في دولة الإمارات نماذج وتجارب","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك  وبالتعاون مع مجالس أحياء دبي","NABDH ALEMARAT  Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk,  In cooperation with the Dubai Neighborhood Councils","11/23/2021 00:00:00","11/23/2021 00:00:00","11/23/2021 00:00:00","مجلس الخوانيج المجتمعي","Al Khawaneej Majlis","/StagingImages/EventsImages/1637582104107.jpeg","","55.4677297","25.2383198","11/22/2021 00:00:00","معرض"
"Literary symposium entitled: Intangible heritage in the UAE models and experiences","الندوة الادبية بعنوان: التراث غير المادي في دولة الإمارات نماذج وتجارب","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك  وبالتعاون مع مجالس أحياء دبي","NABDH ALEMARAT  Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk,  In cooperation with the Dubai Neighborhood Councils","11/23/2021 00:00:00","11/23/2021 00:00:00","11/23/2021 00:00:00","مجلس الخوانيج المجتمعي","Al Khawaneej Majlis","/StagingImages/EventsImages/1637582104107.jpeg","","55.4677297","25.2383198","11/22/2021 00:00:00","الأسرة والأطفال"
"Literary symposium entitled: Intangible heritage in the UAE models and experiences","الندوة الادبية بعنوان: التراث غير المادي في دولة الإمارات نماذج وتجارب","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك  وبالتعاون مع مجالس أحياء دبي","NABDH ALEMARAT  Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk,  In cooperation with the Dubai Neighborhood Councils","11/23/2021 00:00:00","11/23/2021 00:00:00","11/23/2021 00:00:00","مجلس الخوانيج المجتمعي","Al Khawaneej Majlis","/StagingImages/EventsImages/1637582104107.jpeg","","55.4677297","25.2383198","11/22/2021 00:00:00","مهرجان"
"Literary symposium entitled: Intangible heritage in the UAE models and experiences","الندوة الادبية بعنوان: التراث غير المادي في دولة الإمارات نماذج وتجارب","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك  وبالتعاون مع مجالس أحياء دبي","NABDH ALEMARAT  Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk,  In cooperation with the Dubai Neighborhood Councils","11/23/2021 00:00:00","11/23/2021 00:00:00","11/23/2021 00:00:00","مجلس الخوانيج المجتمعي","Al Khawaneej Majlis","/StagingImages/EventsImages/1637582104107.jpeg","","55.4677297","25.2383198","11/22/2021 00:00:00","احداث تجارية"
"Literary symposium entitled: Intangible heritage in the UAE models and experiences","الندوة الادبية بعنوان: التراث غير المادي في دولة الإمارات نماذج وتجارب","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك  وبالتعاون مع مجالس أحياء دبي","NABDH ALEMARAT  Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk,  In cooperation with the Dubai Neighborhood Councils","11/23/2021 00:00:00","11/23/2021 00:00:00","11/23/2021 00:00:00","مجلس الخوانيج المجتمعي","Al Khawaneej Majlis","/StagingImages/EventsImages/1637582104107.jpeg","","55.4677297","25.2383198","11/22/2021 00:00:00","حملات توعية"
"Literary symposium entitled: Intangible heritage in the UAE models and experiences","الندوة الادبية بعنوان: التراث غير المادي في دولة الإمارات نماذج وتجارب","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك  وبالتعاون مع مجالس أحياء دبي","NABDH ALEMARAT  Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk,  In cooperation with the Dubai Neighborhood Councils","11/23/2021 00:00:00","11/23/2021 00:00:00","11/23/2021 00:00:00","مجلس الخوانيج المجتمعي","Al Khawaneej Majlis","/StagingImages/EventsImages/1637582104107.jpeg","","55.4677297","25.2383198","11/22/2021 00:00:00","الصحة والبيئة"
"Participate on C-Line Awareness program","المشاركه في برنامج  C-Line  التوعوي في الاسعافات الاولية","منال آل علي","Manal Al Ali","11/28/2021 00:00:00","11/28/2021 00:00:00","11/29/2021 00:00:00","افتراضي","online","/StagingImages/EventsImages/1637668648080.jpeg","","56.1285858","24.8126387","11/23/2021 00:00:00","آخر"
"Participate on C-Line Awareness program","المشاركه في برنامج  C-Line  التوعوي في الاسعافات الاولية","منال آل علي","Manal Al Ali","11/28/2021 00:00:00","11/28/2021 00:00:00","11/29/2021 00:00:00","افتراضي","online","/StagingImages/EventsImages/1637668648080.jpeg","","56.1285858","24.8126387","11/23/2021 00:00:00","إجتماعي"
"Awareness session entitled Al-Dharaba in speech, deed and clothing","الجلسة التوعوية بعنوان الذرابة في القول والفعل والملبس","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك وبالتعاون مع مجالس أحياء دبي"," NABDH AL EMARAT Volunteer Team, headed by Sheikha Fatima bint Hasher bin DalmoukIn cooperation with the Dubai Neighborhood Councils","11/24/2021 00:00:00","11/24/2021 00:00:00","11/24/2021 00:00:00","مجلس ام سقيم المجتمعي","Umm Suqeim Community Council","/StagingImages/EventsImages/1637669663080.jpeg","","55.2065891","25.1551127","11/23/2021 00:00:00","آخر"
"Awareness session entitled Al-Dharaba in speech, deed and clothing","الجلسة التوعوية بعنوان الذرابة في القول والفعل والملبس","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك وبالتعاون مع مجالس أحياء دبي"," NABDH AL EMARAT Volunteer Team, headed by Sheikha Fatima bint Hasher bin DalmoukIn cooperation with the Dubai Neighborhood Councils","11/24/2021 00:00:00","11/24/2021 00:00:00","11/24/2021 00:00:00","مجلس ام سقيم المجتمعي","Umm Suqeim Community Council","/StagingImages/EventsImages/1637669663080.jpeg","","55.2065891","25.1551127","11/23/2021 00:00:00","إجتماعي"
"Awareness session entitled Al-Dharaba in speech, deed and clothing","الجلسة التوعوية بعنوان الذرابة في القول والفعل والملبس","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك وبالتعاون مع مجالس أحياء دبي"," NABDH AL EMARAT Volunteer Team, headed by Sheikha Fatima bint Hasher bin DalmoukIn cooperation with the Dubai Neighborhood Councils","11/24/2021 00:00:00","11/24/2021 00:00:00","11/24/2021 00:00:00","مجلس ام سقيم المجتمعي","Umm Suqeim Community Council","/StagingImages/EventsImages/1637669663080.jpeg","","55.2065891","25.1551127","11/23/2021 00:00:00","أشخاص ذوي الإعاقة"
"Awareness session entitled Al-Dharaba in speech, deed and clothing","الجلسة التوعوية بعنوان الذرابة في القول والفعل والملبس","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك وبالتعاون مع مجالس أحياء دبي"," NABDH AL EMARAT Volunteer Team, headed by Sheikha Fatima bint Hasher bin DalmoukIn cooperation with the Dubai Neighborhood Councils","11/24/2021 00:00:00","11/24/2021 00:00:00","11/24/2021 00:00:00","مجلس ام سقيم المجتمعي","Umm Suqeim Community Council","/StagingImages/EventsImages/1637669663080.jpeg","","55.2065891","25.1551127","11/23/2021 00:00:00","الشركات والأحداث"
"Awareness session entitled Al-Dharaba in speech, deed and clothing","الجلسة التوعوية بعنوان الذرابة في القول والفعل والملبس","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك وبالتعاون مع مجالس أحياء دبي"," NABDH AL EMARAT Volunteer Team, headed by Sheikha Fatima bint Hasher bin DalmoukIn cooperation with the Dubai Neighborhood Councils","11/24/2021 00:00:00","11/24/2021 00:00:00","11/24/2021 00:00:00","مجلس ام سقيم المجتمعي","Umm Suqeim Community Council","/StagingImages/EventsImages/1637669663080.jpeg","","55.2065891","25.1551127","11/23/2021 00:00:00","الاعمال الخيرية"
"Awareness session entitled Al-Dharaba in speech, deed and clothing","الجلسة التوعوية بعنوان الذرابة في القول والفعل والملبس","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك وبالتعاون مع مجالس أحياء دبي"," NABDH AL EMARAT Volunteer Team, headed by Sheikha Fatima bint Hasher bin DalmoukIn cooperation with the Dubai Neighborhood Councils","11/24/2021 00:00:00","11/24/2021 00:00:00","11/24/2021 00:00:00","مجلس ام سقيم المجتمعي","Umm Suqeim Community Council","/StagingImages/EventsImages/1637669663080.jpeg","","55.2065891","25.1551127","11/23/2021 00:00:00","الفنون والثقافة"
"Awareness session entitled Al-Dharaba in speech, deed and clothing","الجلسة التوعوية بعنوان الذرابة في القول والفعل والملبس","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك وبالتعاون مع مجالس أحياء دبي"," NABDH AL EMARAT Volunteer Team, headed by Sheikha Fatima bint Hasher bin DalmoukIn cooperation with the Dubai Neighborhood Councils","11/24/2021 00:00:00","11/24/2021 00:00:00","11/24/2021 00:00:00","مجلس ام سقيم المجتمعي","Umm Suqeim Community Council","/StagingImages/EventsImages/1637669663080.jpeg","","55.2065891","25.1551127","11/23/2021 00:00:00","مؤتمر"
"Awareness session entitled Al-Dharaba in speech, deed and clothing","الجلسة التوعوية بعنوان الذرابة في القول والفعل والملبس","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك وبالتعاون مع مجالس أحياء دبي"," NABDH AL EMARAT Volunteer Team, headed by Sheikha Fatima bint Hasher bin DalmoukIn cooperation with the Dubai Neighborhood Councils","11/24/2021 00:00:00","11/24/2021 00:00:00","11/24/2021 00:00:00","مجلس ام سقيم المجتمعي","Umm Suqeim Community Council","/StagingImages/EventsImages/1637669663080.jpeg","","55.2065891","25.1551127","11/23/2021 00:00:00","معرض"
"Awareness session entitled Al-Dharaba in speech, deed and clothing","الجلسة التوعوية بعنوان الذرابة في القول والفعل والملبس","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك وبالتعاون مع مجالس أحياء دبي"," NABDH AL EMARAT Volunteer Team, headed by Sheikha Fatima bint Hasher bin DalmoukIn cooperation with the Dubai Neighborhood Councils","11/24/2021 00:00:00","11/24/2021 00:00:00","11/24/2021 00:00:00","مجلس ام سقيم المجتمعي","Umm Suqeim Community Council","/StagingImages/EventsImages/1637669663080.jpeg","","55.2065891","25.1551127","11/23/2021 00:00:00","الأسرة والأطفال"
"Awareness session entitled Al-Dharaba in speech, deed and clothing","الجلسة التوعوية بعنوان الذرابة في القول والفعل والملبس","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك وبالتعاون مع مجالس أحياء دبي"," NABDH AL EMARAT Volunteer Team, headed by Sheikha Fatima bint Hasher bin DalmoukIn cooperation with the Dubai Neighborhood Councils","11/24/2021 00:00:00","11/24/2021 00:00:00","11/24/2021 00:00:00","مجلس ام سقيم المجتمعي","Umm Suqeim Community Council","/StagingImages/EventsImages/1637669663080.jpeg","","55.2065891","25.1551127","11/23/2021 00:00:00","مهرجان"
"Awareness session entitled Al-Dharaba in speech, deed and clothing","الجلسة التوعوية بعنوان الذرابة في القول والفعل والملبس","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك وبالتعاون مع مجالس أحياء دبي"," NABDH AL EMARAT Volunteer Team, headed by Sheikha Fatima bint Hasher bin DalmoukIn cooperation with the Dubai Neighborhood Councils","11/24/2021 00:00:00","11/24/2021 00:00:00","11/24/2021 00:00:00","مجلس ام سقيم المجتمعي","Umm Suqeim Community Council","/StagingImages/EventsImages/1637669663080.jpeg","","55.2065891","25.1551127","11/23/2021 00:00:00","احداث تجارية"
"Awareness session entitled Al-Dharaba in speech, deed and clothing","الجلسة التوعوية بعنوان الذرابة في القول والفعل والملبس","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك وبالتعاون مع مجالس أحياء دبي"," NABDH AL EMARAT Volunteer Team, headed by Sheikha Fatima bint Hasher bin DalmoukIn cooperation with the Dubai Neighborhood Councils","11/24/2021 00:00:00","11/24/2021 00:00:00","11/24/2021 00:00:00","مجلس ام سقيم المجتمعي","Umm Suqeim Community Council","/StagingImages/EventsImages/1637669663080.jpeg","","55.2065891","25.1551127","11/23/2021 00:00:00","حملات توعية"
"Awareness session entitled Al-Dharaba in speech, deed and clothing","الجلسة التوعوية بعنوان الذرابة في القول والفعل والملبس","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك وبالتعاون مع مجالس أحياء دبي"," NABDH AL EMARAT Volunteer Team, headed by Sheikha Fatima bint Hasher bin DalmoukIn cooperation with the Dubai Neighborhood Councils","11/24/2021 00:00:00","11/24/2021 00:00:00","11/24/2021 00:00:00","مجلس ام سقيم المجتمعي","Umm Suqeim Community Council","/StagingImages/EventsImages/1637669663080.jpeg","","55.2065891","25.1551127","11/23/2021 00:00:00","الصحة والبيئة"
"GOLDEN VOICE WORLD COMPETITION","مسابقة الصوت الذهبي العالمية"," فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك","NABDH ALEMARAT Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk,","12/06/2021 00:00:00","12/06/2021 00:00:00","12/06/2021 00:00:00","مسرح مول الامارات - دبي","The Theatre - Mall Of The Emirates","/StagingImages/EventsImages/1637670688722.jpeg","","55.1993392","25.1176498","11/23/2021 00:00:00","آخر"
